sab,onsettime,autofile_i,ppid,cogload,trialn,RT,disengaged,premature,maxsb,design,TLC_calc,V1,simulated_ttlc,TLC_onset,TLC_takeover,time_remaining,early,TLC_end_of_trial,censored,TLC_failure
-0.3039716,6,0,6,noload,47,7.03270045187139,1,0,1.00966292227301,balanced,8.36787313563842,3,9.55,9.55,2.51729954812861,9,1.96729954812861,0.550000000000001,0,9.55
-0.3039716,6,0,12,noload,18,6.78371707348879,1,0,0.921640293,balanced,8.36787313563842,3,9.55,9.55,2.76628292651122,9,2.21628292651121,0.550000000000001,0,9.55
-0.3039716,6,0,4,noload,8,6.31698039851353,1,0,0.817529286231955,balanced,8.36787313563842,3,9.55,9.55,3.23301960148648,9,2.68301960148647,0.550000000000001,0,9.55
-0.3039716,6,0,9,noload,2,7.98320705851103,1,0,1.28831095593433,balanced,8.36787313563842,3,9.55,9.55,1.56679294148897,9,1.01679294148897,0.550000000000001,0,9.55
-0.3039716,6,0,10,noload,29,5.96713485494774,1,0,0.797463777,balanced,8.36787313563842,3,9.55,9.55,3.58286514505226,9,3.03286514505226,0.550000000000001,0,9.55
-0.3039716,6,0,6,noload,17,5.45014594508115,1,0,0.675621628961444,balanced,8.36787313563842,3,9.55,9.55,4.09985405491885,9,3.54985405491885,0.550000000000001,0,9.55
-0.3039716,6,0,4,noload,34,5.43352316924859,1,0,0.594173549977949,balanced,8.36787313563842,3,9.55,9.55,4.11647683075141,9,3.56647683075141,0.550000000000001,0,9.55
-0.3039716,6,0,12,noload,2,7.03355527838417,1,0,1.0202352956946,balanced,8.36787313563842,3,9.55,9.55,2.51644472161583,9,1.96644472161583,0.550000000000001,0,9.55
-0.3039716,6,0,8,noload,16,5.91654869313499,1,0,0.807987571,balanced,8.36787313563842,3,9.55,9.55,3.63345130686502,9,3.08345130686502,0.550000000000001,0,9.55
-0.3039716,6,0,11,noload,10,7.35018543103132,1,0,1.033078359,balanced,8.36787313563842,3,9.55,9.55,2.19981456896868,9,1.64981456896868,0.550000000000001,0,9.55
-0.3039716,6,0,11,noload,33,7.40020985129899,1,0,1.07530349112686,balanced,8.36787313563842,3,9.55,9.55,2.14979014870101,9,1.59979014870101,0.550000000000001,0,9.55
-0.3039716,6,0,7,noload,5,5.78377045310614,1,0,0.751334309,balanced,8.36787313563842,3,9.55,9.55,3.76622954689386,9,3.21622954689386,0.550000000000001,0,9.55
-0.3039716,6,0,1,noload,37,6.03368860745206,1,0,0.893595229070303,balanced,8.36787313563842,3,9.55,9.55,3.51631139254794,9,2.96631139254794,0.550000000000001,0,9.55
-0.3039716,6,0,3,noload,2,5.90063965859116,1,0,0.733150156,balanced,8.36787313563842,3,9.55,9.55,3.64936034140884,9,3.09936034140884,0.550000000000001,0,9.55
